PATENT_ID,PATENT_TITLE,PATENT_ABSTRACT,PUBLICATION_DATE,BACKWARD_CITATIONS,FORWARD_CITATIONS
8625435,Generating and allocating performance monitoring traffic,"A method includes monitoring, by a first network device, traffic from a customer device, wherein the traffic is to be forwarded via a provider's network. The method also includes identifying a traffic pattern associated with the traffic, identifying a link on which the identified traffic pattern was transmitted and generating performance monitoring traffic. The method further includes forwarding, by the first network device, the performance monitoring traffic to the provider's network via the link on which the identified traffic pattern was transmitted.",2014-01-07,1,0
8622029,Circulating fluidized bed (CFB) with in-furnace secondary air nozzles,"A circulating fluidized bed (CFB) boiler includes a reaction chamber, where a bubbling fluidized bed (BFB) is contained within an enclosure within the lower portion of the reaction chamber and contains an in-bed heat exchanger (IBHX) that occupies part of the reaction chamber floor. A plurality of in-bed secondary air nozzles comprise a plurality of tubes which are grouped together and run across the width of the BFB between the BFB enclosure wall and an outside wall of the CFB. The nozzles are positioned to prevent the deflection of solids falling onto the BFB from the CFB by the secondary air jets while avoiding a complicated structure that would interfere with gas and/or solids movement in the furnace. The nozzles' exit openings are flush, or almost flush, with the BFB enclosure wall.",2014-01-07,1,0
8624915,Color-space selective darkness and lightness adjustment,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for color-space selective darkness and lightness improvements. In one aspect, a method accessing multiple pixels that represent a digital image in an RGB color space. The accessed pixels are processed based on a darkness of the digital image resulting in a first set of processed pixels, and separately based on a lightness of the digital image resulting in a second set of processed pixels. Both sets of processed pixels are combined to generate a processed output image.",2014-01-07,0,0
8624398,Semiconductor circuit structure,"A semiconductor circuit structure includes a substrate and an interconnect structure. The interconnect structure is disposed on the substrate and includes a plurality of circuit patterns and at least one closed loop pattern. The closed loop pattern is in a same layer with the circuit patterns, surrounds between the circuit patterns and is insulated from the circuit patterns. The closed loop pattern can protect the circuit patterns from being damaged by stresses, for improving a mechanical strength of the semiconductor circuit structure.",2014-01-07,0,0
D697038,Baffle plate,,2014-01-07,0,0
8624369,Balance filter packaging chip having balun mounted therein and manufacturing method thereof,"A balance filter packaging chip having a balun mounted therein and a manufacturing method thereof are provided. The balance filter packaging chip includes a device substrate; a balance filter mounted on the device substrate; a bonding layer stacked on a certain area of the device substrate; a packaging substrate having a cavity formed over the balance filter, and combined with the device substrate by the bonding layer; a balun located on a certain area over the packaging substrate; and an insulator layer for passivating the balun. Accordingly, the present invention can reduce an element size and simplify a manufacturing process.",2014-01-07,0,0
8625714,Time delay estimation,"An amount of delay between a digital reference signal and a digital derived signal is measured, wherein the derived signal is derived from the reference signal. Measurement involves ascertaining a sign of a slope of the derived signal over a first time interval and producing a set of time-associated reference signs by ascertaining a sign of a slope of the reference signal over each of a plurality of different time intervals leading up to the first time interval. A first set of coincidence results is produced by detecting coincidence between the sign of the slope of the derived signal and each one of the time-associated reference signs in the set of time-associated reference signs. The first set of coincidence results is used alone or in combination with other coincidence results as an indicator of the amount of delay between the reference signal and the derived signal.",2014-01-07,0,0
8626285,Method and devices for performing cardiac waveform appraisal,"Implementations of various technologies described herein are directed toward a sensing architecture for use in cardiac rhythm management devices. The sensing architecture may provide a method and means for certifying detected events by the cardiac rhythm management device. Moreover, by exploiting the enhanced capability to accurately identifying only those sensed events that are desirable, and preventing the use of events marked as suspect, the sensing architecture can better discriminate between rhythms appropriate for device therapy and those that are not.",2014-01-07,23,1
8623887,Compounds,The present invention encompasses compounds of general formula (1)wherein,2014-01-07,1,0
8625939,Ultralow loss cavities and waveguides scattering loss cancellation,A waveguide system includes a first waveguide having surface roughness along at least one surface and a second waveguide substantially identical to the first waveguide and having substantially identical surface roughness along a corresponding side. The first and second waveguides are separated from each other by a predetermined distance and are configured to receive respective first and second light signals having antisymmetric modes. The predetermined distance between the first and second waveguide tends to cause cancellation of at least far-field polarization radiation emanating from the first and second waveguides and resulting from the surface roughness.,2014-01-07,1,0
8625496,Wireless network system and method for providing same,"A wireless network, which includes a wireless router client operable to broadcast data packets to at least one wireless server and one additional wireless client. Each client and server includes programs for determining optimum routes between them. The client also includes a program for determining if a received data packet is not addressed to it and if the packet has been sent via a new optimal route unknown to the client, and for notifying the respective server of such a new optimal route.",2014-01-07,59,2
8625656,Channel estimation for wireless communication,"Techniques for deriving channel estimates with different channel estimation filters are described. In one scheme, a filter selection metric is determined for a signal to be recovered, a channel estimation filter is selected based on the filter selection metric, and a channel estimate is derived with the selected channel estimation filter. In another scheme, a first channel estimate is derived with a first channel estimation filter having a first filter response, a first signal is recovered with the first channel estimate, and interference due to the first signal is estimated and removed. A second channel estimate is derived with a second channel estimation filter having a second filter response that is different from the first filter response.",2014-01-07,2,0
